# Version 1.00,,,,,,,,,,
#,,,,,,,,,,
# Ref Impedances: Z01: 50, Z02: 50,,,,,,,,,
# ,,,,,,,,,,
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,,mag:Trc1_S11
2.63E+09,7.70E-01,1.93E-01,-2.80E-03,-1.19E-02,-2.25E-03,-1.13E-02,7.76E-01,1.62E-01,,0.793703796
2.64E+09,7.73E-01,4.96E-02,-6.51E-03,-1.38E-02,-5.37E-03,-1.35E-02,7.74E-01,8.05E-03,,0.774488626
2.66E+09,7.46E-01,-9.98E-02,-9.80E-03,-1.45E-02,-8.44E-03,-1.47E-02,7.37E-01,-1.32E-01,,0.752733671
2.67E+09,6.83E-01,-2.51E-01,-1.48E-02,-1.63E-02,-1.34E-02,-1.75E-02,6.69E-01,-2.97E-01,,0.728052127
2.69E+09,5.80E-01,-3.91E-01,-2.12E-02,-1.65E-02,-2.06E-02,-1.80E-02,5.60E-01,-4.27E-01,,0.699761733
2.70E+09,4.37E-01,-5.05E-01,-3.11E-02,-1.39E-02,-3.12E-02,-1.52E-02,4.18E-01,-5.41E-01,,0.667981432
2.72E+09,2.67E-01,-5.79E-01,-3.97E-02,-6.76E-03,-3.98E-02,-7.37E-03,2.38E-01,-5.86E-01,,0.637791035
2.73E+09,8.00E-02,-6.09E-01,-4.45E-02,2.81E-03,-4.41E-02,9.76E-04,6.39E-02,-6.27E-01,,0.614385208
2.75E+09,-1.12E-01,-5.90E-01,-4.99E-02,1.50E-02,-5.19E-02,1.13E-02,-1.43E-01,-5.90E-01,,0.600085568
2.76E+09,-2.92E-01,-5.17E-01,-4.94E-02,2.97E-02,-5.59E-02,2.86E-02,-3.20E-01,-5.14E-01,,0.59343442
2.78E+09,-4.41E-01,-3.99E-01,-4.42E-02,4.59E-02,-4.94E-02,5.20E-02,-4.74E-01,-3.75E-01,,0.595181402
2.79E+09,-5.49E-01,-2.53E-01,-3.34E-02,5.79E-02,-3.20E-02,6.65E-02,-5.67E-01,-2.39E-01,,0.604899464
2.81E+09,-6.14E-01,-9.23E-02,-2.03E-02,6.43E-02,-1.41E-02,6.84E-02,-6.31E-01,-7.52E-02,,0.621183714
2.82E+09,-6.39E-01,7.40E-02,-9.62E-03,7.09E-02,-3.49E-03,7.08E-02,-6.42E-01,8.17E-02,,0.64289037
2.84E+09,-6.21E-01,2.33E-01,5.98E-03,7.42E-02,7.62E-03,7.25E-02,-6.33E-01,2.68E-01,,0.663316182
2.85E+09,-5.72E-01,3.72E-01,2.10E-02,7.56E-02,2.43E-02,7.62E-02,-5.68E-01,3.86E-01,,0.682581165
2.87E+09,-5.05E-01,4.90E-01,3.54E-02,7.07E-02,4.16E-02,6.96E-02,-5.05E-01,5.23E-01,,0.703602432
2.88E+09,-4.19E-01,5.88E-01,4.74E-02,6.66E-02,5.31E-02,5.97E-02,-4.14E-01,6.09E-01,,0.722114963
2.90E+09,-3.25E-01,6.64E-01,5.91E-02,5.99E-02,5.97E-02,5.00E-02,-3.20E-01,6.90E-01,,0.739440289
2.91E+09,-2.26E-01,7.20E-01,7.00E-02,5.21E-02,6.52E-02,4.20E-02,-2.18E-01,7.33E-01,,0.754973987
2.93E+09,-1.27E-01,7.58E-01,7.82E-02,4.22E-02,7.09E-02,3.69E-02,-1.25E-01,7.68E-01,,0.768784656
2.94E+09,-2.88E-02,7.80E-01,8.56E-02,3.06E-02,7.83E-02,2.93E-02,-4.37E-03,7.81E-01,,0.780351559
2.96E+09,6.53E-02,7.89E-01,8.90E-02,2.03E-02,8.76E-02,1.71E-02,7.49E-02,8.07E-01,,0.791951201
2.97E+09,1.58E-01,7.87E-01,9.42E-02,8.65E-03,9.09E-02,7.87E-03,2.07E-01,7.81E-01,,0.80258172
2.99E+09,2.46E-01,7.73E-01,9.63E-02,-2.99E-04,9.28E-02,-3.89E-03,2.60E-01,7.86E-01,,0.81082229
3.00E+09,3.29E-01,7.49E-01,1.02E-01,-1.35E-02,9.41E-02,-1.45E-02,3.78E-01,7.35E-01,,0.817978792
