# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+03,1.967876917123135E-03,-1.555940473838335E-03,1.001192579753642E+00,-4.818156474813429E-04,9.994425032196687E-01,-4.199673063460391E-04,1.006054542206009E-03,-2.050224249357913E-03,
6.011001001001001E+06,-4.220075946347260E-02,3.045316535179198E-01,9.056854851478398E-01,-1.351860000702068E-01,9.442995282864903E-01,-1.381753502632151E-01,-1.337500326704864E-01,2.811235749364715E-01,
1.201700200200200E+07,2.829426681734035E-02,2.102963116358610E-01,9.444701708177139E-01,-1.496472053186111E-01,9.456068389224517E-01,-1.909578281806887E-01,-1.176831244286054E-01,1.863812703992724E-01,
1.802300300300300E+07,4.536125152557656E-02,1.031492290495532E-01,9.594770415108738E-01,-1.976075549434713E-01,9.597464384636003E-01,-2.077216248414357E-01,-9.784562895329628E-02,8.571810663849955E-02,
2.402900400400401E+07,2.458871866547489E-02,2.703597502454413E-03,9.590457281328104E-01,-2.437593815275723E-01,9.612778489563079E-01,-2.462751492221812E-01,-6.624201712697032E-02,-5.728454249622900E-03,
3.003500500500501E+07,-2.640986132392246E-02,-8.089455334276123E-02,9.422790672916167E-01,-2.995344957767716E-01,9.489575629842378E-01,-2.858116913332561E-01,-2.548165020799251E-02,-8.247313067449961E-02,
3.604100600600601E+07,-4.070873901936883E-02,-9.302156467802943E-02,9.236454558253883E-01,-3.432273365303421E-01,9.264220901236161E-01,-3.525352077204684E-01,-3.624880908328145E-02,-9.717657553567925E-02,
4.204700700700701E+07,-5.416238525026879E-02,-1.029932857445595E-01,8.998981236553178E-01,-3.914814270584949E-01,9.029378808002264E-01,-4.104160298654252E-01,-4.865451410345739E-02,-1.092108564411475E-01,
4.805300800800801E+07,-6.560703336894881E-02,-1.124580343984588E-01,8.741104596871798E-01,-4.479973372358259E-01,8.732288783792986E-01,-4.548658705799999E-01,-6.220415407275156E-02,-1.191464123181854E-01,
5.405900900900901E+07,-7.874925566681520E-02,-1.225806233318299E-01,8.450921665693830E-01,-4.952841252240220E-01,8.412170175857583E-01,-5.050073406158624E-01,-7.665971072343844E-02,-1.267530911241353E-01,
6.006501001001001E+07,-9.357525626969314E-02,-1.328371879264917E-01,8.079049204753623E-01,-5.481474350878852E-01,8.134136871013944E-01,-5.408727210763403E-01,-9.212822892433756E-02,-1.324852178572806E-01,
6.607101101101101E+07,-1.104035772594719E-01,-1.353931120268170E-01,7.758520188229967E-01,-5.804763164199369E-01,7.747060325153201E-01,-5.994000700105419E-01,-1.075178052341702E-01,-1.372396780358274E-01,
7.207701201201202E+07,-1.260017054223646E-01,-1.368753064689700E-01,7.398384025888621E-01,-6.265967420750095E-01,7.300980503000781E-01,-6.387405817020361E-01,-1.241717625729812E-01,-1.401318643603221E-01,
7.808301301301302E+07,-1.410485401808567E-01,-1.401502270338573E-01,6.929716245125627E-01,-6.720084933533451E-01,7.050362237498836E-01,-6.644722244714683E-01,-1.414013746456649E-01,-1.408818339622595E-01,
