# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+03,2.025969175125597E-03,-1.800586989002151E-03,1.000752080775422E+00,-3.468936991832677E-04,9.996242745954166E-01,-4.480772271333727E-04,8.989255686494002E-04,-1.528416132240140E-03,
2.006996996996997E+06,-9.821974178192924E-02,3.416821703407788E-01,9.036096518823274E-01,-1.272534256215208E-01,9.001560848380453E-01,-1.373574577360430E-01,-1.244228675286773E-01,3.315580888935117E-01,
4.008993993993994E+06,-6.501845096950702E-02,3.287661143025178E-01,9.137923531534139E-01,-1.033909303385029E-01,9.086743051174442E-01,-1.794154531338339E-01,-1.262736855947851E-01,3.109090697390710E-01,
6.010990990990991E+06,-4.376143220113582E-02,3.049377366904958E-01,9.032160472890912E-01,-1.371545816336443E-01,9.494796733114181E-01,-1.327404355348039E-01,-1.354862517913567E-01,2.812262599644952E-01,
8.012987987987988E+06,-7.355016650274859E-03,2.757192565676774E-01,9.300076482963465E-01,-1.475733068928997E-01,9.272256403096899E-01,-1.601251679196793E-01,-1.244622434507599E-01,2.512985183379540E-01,
1.001498498498498E+07,1.230123105735328E-02,2.446325584080253E-01,9.393350795924712E-01,-1.455098040859560E-01,9.353380596001739E-01,-1.755432216759809E-01,-1.220117092521714E-01,2.195583679475126E-01,
1.201698198198198E+07,2.829550699513805E-02,2.102601500535223E-01,9.444059237442508E-01,-1.486696568567834E-01,9.457445720082429E-01,-1.914542549326900E-01,-1.179639896533672E-01,1.862721075853142E-01,
1.401897897897898E+07,3.891614097223958E-02,1.748636506016519E-01,9.504449498841882E-01,-1.593189759273985E-01,9.525207248535089E-01,-2.019287001802620E-01,-1.124601681665452E-01,1.528629036626543E-01,
1.602097597597598E+07,4.450321644929116E-02,1.385484203974533E-01,9.572036565957841E-01,-1.811870939567221E-01,9.547882424165359E-01,-1.998435292045826E-01,-1.059059295062686E-01,1.187581608885010E-01,
1.802297297297297E+07,4.554124514812637E-02,1.030809064691399E-01,9.593712456745935E-01,-1.975955177849094E-01,9.597047988366154E-01,-2.078522125115810E-01,-9.801587016388352E-02,8.554487324559154E-02,
2.002496996996997E+07,4.210462765437319E-02,6.826695788955690E-02,9.609688850595094E-01,-2.020946140070279E-01,9.615863663424914E-01,-2.315963714927527E-01,-8.855952039303960E-02,5.392143119744509E-02,
2.202696696696696E+07,3.535056268816526E-02,3.488625046010113E-02,9.616948042383854E-01,-2.225546134669892E-01,9.616038167820986E-01,-2.380574311311432E-01,-7.827844467113522E-02,2.339535511532628E-02,
2.402896396396396E+07,2.464156987866530E-02,2.497898071537580E-03,9.595285681820183E-01,-2.414602878180412E-01,9.608215863257302E-01,-2.484933190852295E-01,-6.620429495671555E-02,-5.927556487165614E-03,
2.603096096096096E+07,1.058631092989147E-02,-2.800585477726840E-02,9.538588309911273E-01,-2.628726730171986E-01,9.599468974687484E-01,-2.564365853631188E-01,-5.352275937641758E-02,-3.353522651495218E-02,
2.803295795795796E+07,-6.792867115865520E-03,-5.578876525523849E-02,9.507422792095581E-01,-2.759516089605555E-01,9.533566978216955E-01,-2.772532440334553E-01,-3.988194393337367E-02,-5.929280881419902E-02,
3.003495495495495E+07,-2.631843899878616E-02,-8.104374306943050E-02,9.425194116851847E-01,-2.988383113956361E-01,9.488276091377886E-01,-2.866390300103079E-01,-2.563199870281679E-02,-8.264597488520903E-02,
3.203695195195195E+07,-3.099962923152741E-02,-8.563034430366512E-02,9.354468561772767E-01,-3.178764552983721E-01,9.427937612816458E-01,-3.037084892951539E-01,-2.887958329310697E-02,-8.785390521419802E-02,
3.403894894894895E+07,-3.539796258316506E-02,-8.972875096671255E-02,9.294283949719642E-01,-3.346546545542570E-01,9.349885406463864E-01,-3.236213934802016E-01,-3.261278217276640E-02,-9.278526662910512E-02,
3.604094594594595E+07,-4.059704186840908E-02,-9.311631392094152E-02,9.238550307612171E-01,-3.425016511858724E-01,9.263373300945567E-01,-3.531037316824714E-01,-3.625726513995499E-02,-9.731876325909054E-02,
3.804294294294294E+07,-4.423708608148714E-02,-9.722310885087665E-02,9.133643451693089E-01,-3.719783807001649E-01,9.216194222652619E-01,-3.567687358685576E-01,-4.036530103574763E-02,-1.018532223876565E-01,
4.004493993993994E+07,-4.856241972503625E-02,-1.003073545732186E-01,9.058143387268655E-01,-3.880291509092028E-01,9.126667060460047E-01,-3.769022165157895E-01,-4.445417422494769E-02,-1.057203173825151E-01,
4.204693693693694E+07,-5.386452935230248E-02,-1.031010106917139E-01,9.000435755191546E-01,-3.910011994382979E-01,9.028929818070182E-01,-4.109965471350194E-01,-4.860087244805256E-02,-1.094045444930931E-01,
4.404893393393393E+07,-5.743622073816260E-02,-1.062810840496214E-01,8.921016076656616E-01,-4.145067082155080E-01,8.922621523175720E-01,-4.208292867383416E-01,-5.297692327987464E-02,-1.129456725892242E-01,
4.605093093093093E+07,-6.101573781806940E-02,-1.098973737420022E-01,8.817635528762863E-01,-4.360440284269705E-01,8.841612336949900E-01,-4.321259480723210E-01,-5.751031418158156E-02,-1.163045733371255E-01,
4.805292792792793E+07,-6.551200060540002E-02,-1.125886782715215E-01,8.743384942169751E-01,-4.475781852518075E-01,8.729810532211366E-01,-4.552120450386969E-01,-6.206494469388347E-02,-1.191815111718326E-01,
5.005492492492492E+07,-6.978825807912264E-02,-1.158156945680922E-01,8.647842153278626E-01,-4.637220622260035E-01,8.629974060736866E-01,-4.719468305922017E-01,-6.676840002346039E-02,-1.219409191292995E-01,
5.205692192192192E+07,-7.412568386532228E-02,-1.192168364465548E-01,8.551646195596508E-01,-4.792932566149702E-01,8.521286031374704E-01,-4.890071129780650E-01,-7.162699505059229E-02,-1.245167550201205E-01,
5.405891891891892E+07,-7.867696832309254E-02,-1.225689850362698E-01,8.453772710813177E-01,-4.947410299386713E-01,8.411145155909054E-01,-5.053520353282106E-01,-7.661826158378703E-02,-1.268264833156024E-01,
5.606091591591591E+07,-8.341406364264513E-02,-1.259173838985652E-01,8.347666988830671E-01,-5.101109850054455E-01,8.300035696234188E-01,-5.212585038219784E-01,-8.144155079882594E-02,-1.287836525674326E-01,
5.806291291291291E+07,-8.777463395199438E-02,-1.296106620855299E-01,8.188607624700587E-01,-5.329939117761465E-01,8.239014792781157E-01,-5.262938050145685E-01,-8.671842056749779E-02,-1.307604453600639E-01,
6.006490990990990E+07,-9.356753807317915E-02,-1.328723400862661E-01,8.081399475666320E-01,-5.478446553445944E-01,8.133226550798667E-01,-5.413130587903958E-01,-9.204944432684248E-02,-1.324448224788790E-01,
6.206690690690690E+07,-9.881849556542188E-02,-1.339450898977211E-01,7.958812483624687E-01,-5.632261822870738E-01,8.021596499470545E-01,-5.556606567720722E-01,-9.713595284091997E-02,-1.343542007413261E-01,
6.406890390390390E+07,-1.039159833123777E-01,-1.350412958607382E-01,7.835853378426073E-01,-5.781491896149948E-01,7.908174486937983E-01,-5.696780324295013E-01,-1.022358404312173E-01,-1.361338273097873E-01,
