# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
5.000000000000000E+03,1.880567078291789E-03,-1.580449339514234E-03,1.001013593127998E+00,-6.504993003305926E-04,9.996748943030028E-01,-9.310823950986064E-04,1.019262938698431E-03,-1.356505517389306E-03,
3.000497500000000E+07,-2.637199208047777E-02,-8.097640194257218E-02,9.425467019049454E-01,-2.993915029201665E-01,9.488345420861108E-01,-2.858800093278898E-01,-2.567430684726047E-02,-8.243177878274681E-02,
6.000495000000000E+07,-9.339873986575047E-02,-1.328030383983160E-01,8.092647982913278E-01,-5.465565743514187E-01,8.129585807173370E-01,-5.414961487423972E-01,-9.205563435841034E-02,-1.326247177446557E-01,
9.000492500000000E+07,-1.767362845964137E-01,-1.378089204351381E-01,6.099270414208939E-01,-7.408008037116030E-01,6.210810670224485E-01,-7.342573973739225E-01,-1.771252066364003E-01,-1.372865579862335E-01,
1.200049000000000E+08,-2.481988835156005E-01,-9.973569736841327E-02,3.777026189637874E-01,-8.656629053877906E-01,3.903946558740787E-01,-8.626976037396944E-01,-2.524679949803597E-01,-1.008438937008870E-01,
1.500048750000000E+08,-2.887791921772890E-01,-3.457581222834977E-02,1.274044447358216E-01,-9.252553968313337E-01,1.444719739105364E-01,-9.244607010282619E-01,-2.952183881808992E-01,-3.566575244432441E-02,
1.800048500000000E+08,-2.972261047211339E-01,4.306943477700702E-02,-1.222552337546055E-01,-9.227805895548810E-01,-1.095458892755039E-01,-9.274392533064191E-01,-2.945109429877738E-01,4.456406569646398E-02,
2.100048250000000E+08,-2.533138903512704E-01,1.168888996741357E-01,-3.722976736130383E-01,-8.574541913264981E-01,-3.554489623799377E-01,-8.675275657969911E-01,-2.523078263657491E-01,1.145743861164711E-01,
2.400048000000000E+08,-1.764483788709992E-01,1.510736458877981E-01,-6.029633268243589E-01,-7.257673283898772E-01,-5.886057439409113E-01,-7.420336404459178E-01,-1.777588626241814E-01,1.492058185348129E-01,
2.700047750000000E+08,-8.867399919918934E-02,1.321660705233244E-01,-7.968000659043678E-01,-5.233404292839495E-01,-7.862610058385850E-01,-5.437971771106958E-01,-9.103679736832708E-02,1.290824025521255E-01,
3.000047500000000E+08,-2.342117374938286E-02,5.439504740120586E-02,-9.262492155472993E-01,-2.561484538221354E-01,-9.196758171568347E-01,-2.837391554322404E-01,-2.473836021545069E-02,5.278579455472748E-02,
3.300047250000000E+08,-2.228132697544971E-02,-6.056795498894264E-02,-9.546966202390360E-01,5.202710025245913E-02,-9.567187223079365E-01,1.585581487947351E-02,-1.983017131959220E-02,-6.102592758834424E-02,
