# Version 1.00
#
# Ref Impedances: Z01: 50, Z02: 50
# 
freq[Hz],re:Trc1_S11,im:Trc1_S11,re:Trc2_S12,im:Trc2_S12,re:Trc3_S21,im:Trc3_S21,re:Trc4_S22,im:Trc4_S22,
1.000000000000000E+08,-7.881532726043094E-03,-1.371064492285184E-02,9.507327511849709E-01,-2.956829160340021E-01,9.532680124257018E-01,-2.942073374202264E-01,-7.075255052941511E-03,-1.020734716263638E-02,
1.018000000000000E+08,-8.236126126947796E-03,-1.400677536588868E-02,9.507083768386462E-01,-3.007548089751754E-01,9.517572672215328E-01,-2.994760430164497E-01,-8.542052154761016E-03,-1.147878077262500E-02,
1.036000000000000E+08,-8.406983470904336E-03,-1.424196147839886E-02,9.497687704607797E-01,-3.061673075663014E-01,9.500121547720932E-01,-3.045410960362983E-01,-9.245545104227234E-03,-1.245775408158498E-02,
1.054000000000000E+08,-8.670722744122896E-03,-1.444956824123485E-02,9.480468342255302E-01,-3.113164173481514E-01,9.482739943550524E-01,-3.096684495209496E-01,-9.806988426982596E-03,-1.288039420011913E-02,
1.072000000000000E+08,-8.930817208410555E-03,-1.464246298730455E-02,9.462182087039479E-01,-3.162914433817013E-01,9.465523038458911E-01,-3.147918610185532E-01,-1.035188212889206E-02,-1.332545828134029E-02,
1.090000000000000E+08,-9.091878292109685E-03,-1.477304265900942E-02,9.443804155850678E-01,-3.212532049780090E-01,9.446818602078327E-01,-3.197948623354420E-01,-1.092539686041288E-02,-1.386528033018463E-02,
1.108000000000000E+08,-9.371373928559176E-03,-1.499444522271466E-02,9.425938760702448E-01,-3.262574363356616E-01,9.429264893917931E-01,-3.248848666216246E-01,-1.138501730940113E-02,-1.448702766470328E-02,
1.126000000000000E+08,-9.615272770968469E-03,-1.517328978210000E-02,9.408449658333992E-01,-3.313472400408823E-01,9.411229432886566E-01,-3.299214422650378E-01,-1.177914703597031E-02,-1.522013408901107E-02,
1.144000000000000E+08,-9.835465778517773E-03,-1.530451680560793E-02,9.389798402868990E-01,-3.362979719851115E-01,9.392257241302322E-01,-3.350057326669536E-01,-1.208666495031673E-02,-1.598168657229727E-02,
1.162000000000000E+08,-1.005757564862962E-02,-1.545789816321060E-02,9.371697443694349E-01,-3.413259430702826E-01,9.373549601866199E-01,-3.400045434878102E-01,-1.224484464188009E-02,-1.674052286581706E-02,
1.180000000000000E+08,-1.035036563452228E-02,-1.559865029441623E-02,9.352602155463191E-01,-3.463056428164409E-01,9.354914177343304E-01,-3.450604981041028E-01,-1.227413866083478E-02,-1.745052874626782E-02,
1.198000000000000E+08,-1.061251713891833E-02,-1.569952528291806E-02,9.333397120553795E-01,-3.513424947664254E-01,9.336240938708303E-01,-3.500762680100087E-01,-1.228589740285306E-02,-1.815160010744293E-02,
1.216000000000000E+08,-1.087684900918632E-02,-1.586103344334409E-02,9.314718109467782E-01,-3.563256442686614E-01,9.317049567689415E-01,-3.550997270759579E-01,-1.211430974374634E-02,-1.876517330675317E-02,
1.234000000000000E+08,-1.107258405484378E-02,-1.604244730278263E-02,9.294907224488070E-01,-3.612718333274370E-01,9.297441300741253E-01,-3.600568161266908E-01,-1.195101721594724E-02,-1.932863516306556E-02,
1.252000000000000E+08,-1.094434014505002E-02,-1.546550162592933E-02,9.274229492916872E-01,-3.662522691353471E-01,9.272556787226217E-01,-3.643481578337159E-01,-1.184316912043670E-02,-1.970236432548500E-02,
1.270000000000000E+08,-1.165365016490553E-02,-1.624149508265760E-02,9.255697475075840E-01,-3.712136060109284E-01,9.258283515463740E-01,-3.700727577938261E-01,-1.137191189919591E-02,-2.024959606960655E-02,
1.288000000000000E+08,-1.190429493403007E-02,-1.639707972116870E-02,9.234881592606270E-01,-3.761023248843970E-01,9.237675384413723E-01,-3.750728749101072E-01,-1.099933588730963E-02,-2.058058107753365E-02,
1.306000000000000E+08,-1.202469182223712E-02,-1.654548712421068E-02,9.213618878151032E-01,-3.809259663828368E-01,9.217046711196843E-01,-3.799435654657113E-01,-1.063794246449762E-02,-2.080854622067823E-02,
1.324000000000000E+08,-1.233802272402118E-02,-1.662678027510533E-02,9.193638479438651E-01,-3.857739088511047E-01,9.196760569955754E-01,-3.848865848515253E-01,-1.018758733433452E-02,-2.091323232966041E-02,
1.342000000000000E+08,-1.254128520909259E-02,-1.668635912063572E-02,9.172490648223970E-01,-3.905990181786695E-01,9.175706215678432E-01,-3.898571575027704E-01,-9.741390603196903E-03,-2.096496171651239E-02,
1.360000000000000E+08,-1.276492043851007E-02,-1.689169114455952E-02,9.151387658432685E-01,-3.954153185881216E-01,9.154589657178576E-01,-3.947465607494526E-01,-9.287965048970837E-03,-2.088706107820773E-02,
1.378000000000000E+08,-1.288870004222841E-02,-1.696490206212626E-02,9.128939489018559E-01,-4.003273907222523E-01,9.134380409797048E-01,-3.995217547582041E-01,-8.884539341086670E-03,-2.074116209513401E-02,
1.396000000000000E+08,-1.315174434547912E-02,-1.708464484868847E-02,9.109276597346845E-01,-4.049887158978448E-01,9.111826032493678E-01,-4.047838373212976E-01,-8.448427005260403E-03,-2.046159155974024E-02,
1.414000000000000E+08,-1.335569507834991E-02,-1.719528762519464E-02,9.087222969222674E-01,-4.097203453645021E-01,9.089459903316357E-01,-4.098319295141705E-01,-8.092745070239203E-03,-2.005769295827549E-02,
1.432000000000000E+08,-1.345442196600669E-02,-1.726398830179619E-02,9.064941202171660E-01,-4.143903574477473E-01,9.066380234232058E-01,-4.147620964900084E-01,-7.782344122265993E-03,-1.954406168916576E-02,
1.450000000000000E+08,-1.364462707086731E-02,-1.733445496529670E-02,9.042395735889310E-01,-4.191562781613455E-01,9.043673594596916E-01,-4.196482819951252E-01,-7.540679331249987E-03,-1.887330348336450E-02,
1.468000000000000E+08,-1.383169391109685E-02,-1.743397743203486E-02,9.020178887018823E-01,-4.238303018894178E-01,9.019793045321421E-01,-4.247600529436864E-01,-7.420430692066042E-03,-1.808886561639909E-02,
1.486000000000000E+08,-1.391125171726754E-02,-1.744553520534285E-02,8.998275436090380E-01,-4.285085294566007E-01,8.996674154521197E-01,-4.295764227683578E-01,-7.466452836995980E-03,-1.722958520476380E-02,
1.504000000000000E+08,-1.413418579269314E-02,-1.763989727463072E-02,8.974036279217782E-01,-4.333064303153455E-01,8.973621368539345E-01,-4.341996817893817E-01,-7.740650750246280E-03,-1.629813183685355E-02,
1.522000000000000E+08,-1.432656553332023E-02,-1.772929488035490E-02,8.952284603842816E-01,-4.377673856988145E-01,8.948883585065206E-01,-4.392312626365953E-01,-8.165467425298729E-03,-1.538295498640034E-02,
1.540000000000000E+08,-1.451273644608713E-02,-1.783956323153641E-02,8.928892065516725E-01,-4.425398301596853E-01,8.925300115271761E-01,-4.438855358685823E-01,-8.733932658065768E-03,-1.445390528051859E-02,
1.558000000000000E+08,-1.468061063714105E-02,-1.795853548770484E-02,8.904207744378722E-01,-4.473585903742782E-01,8.902280233394250E-01,-4.484072887307704E-01,-9.438479385426513E-03,-1.362454307036628E-02,
1.576000000000000E+08,-1.500182047047617E-02,-1.804417218515355E-02,8.879065385569720E-01,-4.522485473980303E-01,8.877793746523648E-01,-4.529387000334177E-01,-1.038044231644906E-02,-1.281517697874093E-02,
1.594000000000000E+08,-1.512682505115081E-02,-1.817106917974199E-02,8.853952702602285E-01,-4.572157603942950E-01,8.853701077667504E-01,-4.575872362064708E-01,-1.153471444811986E-02,-1.214825242057987E-02,
1.612000000000000E+08,-1.541198502665915E-02,-1.829872778539885E-02,8.828965007523930E-01,-4.620810748295032E-01,8.829769200102449E-01,-4.620021910661636E-01,-1.281907091310397E-02,-1.162118098016221E-02,
1.630000000000000E+08,-1.561410816738260E-02,-1.839530537548186E-02,8.803220634248059E-01,-4.669354409810783E-01,8.805623158925248E-01,-4.664424800929629E-01,-1.421038734640550E-02,-1.128486537516338E-02,
1.648000000000000E+08,-1.592027554357710E-02,-1.853562043191930E-02,8.776990306657918E-01,-4.718421430991376E-01,8.781027344074671E-01,-4.708414736466508E-01,-1.568090483961225E-02,-1.110654583448833E-02,
1.666000000000000E+08,-1.618386168661909E-02,-1.868874502105939E-02,8.745561228875299E-01,-4.777648961304845E-01,8.762826135231414E-01,-4.740394601389017E-01,-1.717841182760282E-02,-1.119712355238805E-02,
1.684000000000000E+08,-1.641402432437180E-02,-1.875434330169190E-02,8.722349697057287E-01,-4.819438459425142E-01,8.732804951953167E-01,-4.795706919158023E-01,-1.874599973847694E-02,-1.142552783994605E-02,
1.702000000000000E+08,-1.666565794431811E-02,-1.877717492171335E-02,8.694447796091570E-01,-4.869193518211276E-01,8.706894801181119E-01,-4.841444865602327E-01,-2.028823609060691E-02,-1.186925693640295E-02,
1.720000000000000E+08,-1.692617447788854E-02,-1.885200923581385E-02,8.666868382920028E-01,-4.918738438037098E-01,8.679464238469611E-01,-4.888334727589536E-01,-2.168782722051679E-02,-1.249659762042799E-02,
1.738000000000000E+08,-1.723004537392099E-02,-1.889539477928678E-02,8.639710291978795E-01,-4.966129378397250E-01,8.652386114096433E-01,-4.934427116939752E-01,-2.297564457218289E-02,-1.328160339812461E-02,
1.756000000000000E+08,-1.730546585203501E-02,-1.921625702643942E-02,8.612566777940319E-01,-5.014479234161455E-01,8.630753294932578E-01,-4.983817025480529E-01,-2.421568193945431E-02,-1.422578411262073E-02,
1.774000000000000E+08,-1.790610970603236E-02,-1.899192627097970E-02,8.583216276856585E-01,-5.061957415931645E-01,8.597110279989463E-01,-5.026843766374085E-01,-2.530082062338127E-02,-1.524342856277803E-02,
1.792000000000000E+08,-1.856307105813968E-02,-1.956605511824236E-02,8.555451122098291E-01,-5.109491605855755E-01,8.566451911716254E-01,-5.076409471977216E-01,-2.631049413392325E-02,-1.649639800888504E-02,
1.810000000000000E+08,-1.857904691845473E-02,-1.901564885157433E-02,8.525550266299581E-01,-5.154201429280889E-01,8.541523882198164E-01,-5.118625631595143E-01,-2.704659372242653E-02,-1.763130849895153E-02,
1.828000000000000E+08,-1.904912233687141E-02,-1.910004597673696E-02,8.497231268846869E-01,-5.200277413858682E-01,8.512049614061569E-01,-5.165081525160189E-01,-2.771033386560532E-02,-1.892467047335824E-02,
1.846000000000000E+08,-1.938479249824873E-02,-1.912385394261120E-02,8.464910641364811E-01,-5.250618404220206E-01,8.485021405267239E-01,-5.207546746993291E-01,-2.819757286165179E-02,-2.027226940235188E-02,
1.864000000000000E+08,-1.984009022098738E-02,-1.921820546661386E-02,8.441067380995942E-01,-5.284944044518521E-01,8.452902237863725E-01,-5.258240080790054E-01,-2.850406222019147E-02,-2.171566992935273E-02,
1.882000000000000E+08,-2.021392758704200E-02,-1.923269453314724E-02,8.411309073460728E-01,-5.330133481498835E-01,8.423808731237957E-01,-5.302401838792705E-01,-2.859024241114832E-02,-2.314603101348672E-02,
1.900000000000000E+08,-2.061851696999271E-02,-1.922079959927576E-02,8.381514002901297E-01,-5.373998219898281E-01,8.394804431363156E-01,-5.347045400230734E-01,-2.842720925181416E-02,-2.452649850785876E-02,
1.918000000000000E+08,-2.096038035330178E-02,-1.916784643300933E-02,8.351998109964087E-01,-5.417652432015491E-01,8.365895405579560E-01,-5.391827302573784E-01,-2.803304022863218E-02,-2.585111651121501E-02,
1.936000000000000E+08,-2.132582716038683E-02,-1.908213063389434E-02,8.322338224094000E-01,-5.461357861752134E-01,8.335735652472432E-01,-5.436065887606265E-01,-2.742025732958177E-02,-2.710315176362080E-02,
1.954000000000000E+08,-2.165136770100797E-02,-1.896626511592488E-02,8.292651769431371E-01,-5.503657209756521E-01,8.306026960277375E-01,-5.481799968671354E-01,-2.656781768770310E-02,-2.823607989547663E-02,
1.972000000000000E+08,-2.201154150494620E-02,-1.887760527309180E-02,8.262328311540666E-01,-5.549118847056382E-01,8.277010593320063E-01,-5.524685212705197E-01,-2.552052709870416E-02,-2.919976024466808E-02,
1.990000000000000E+08,-2.237793807682984E-02,-1.885570559261323E-02,8.232293728781888E-01,-5.592481209937482E-01,8.246774986748027E-01,-5.569003117122174E-01,-2.429860559538586E-02,-2.994195993773708E-02,
2.008000000000000E+08,-2.269659146297221E-02,-1.861778906384403E-02,8.201484537630928E-01,-5.636834467209388E-01,8.216636887728557E-01,-5.612878817012740E-01,-2.284849710027552E-02,-3.042607915732486E-02,
2.026000000000000E+08,-2.304312667583373E-02,-1.849040995395495E-02,8.172203541909112E-01,-5.680059829328155E-01,8.186682442015961E-01,-5.656944926896176E-01,-2.133951392128426E-02,-3.057079531264406E-02,
2.044000000000000E+08,-2.337296709668679E-02,-1.834151481806055E-02,8.141635403437204E-01,-5.722948630546366E-01,8.156600687196789E-01,-5.700222009610267E-01,-1.980562166980092E-02,-3.040922049111932E-02,
2.062000000000000E+08,-2.369100468572994E-02,-1.818715942779807E-02,8.111269697216152E-01,-5.766238428235756E-01,8.126070946947423E-01,-5.744594451677281E-01,-1.829945803578050E-02,-2.989045203396781E-02,
2.080000000000000E+08,-2.403876837843848E-02,-1.804254395240664E-02,8.080832290516744E-01,-5.809279400401274E-01,8.095102006918117E-01,-5.787813997411417E-01,-1.694363350405884E-02,-2.908848843854717E-02,
2.098000000000000E+08,-2.435928408479495E-02,-1.787839519304297E-02,8.050438826184830E-01,-5.853323951420771E-01,8.064226112231018E-01,-5.831517103030208E-01,-1.570969446956853E-02,-2.794169968871616E-02,
2.116000000000000E+08,-2.467938223277562E-02,-1.772195171735237E-02,8.019871775432965E-01,-5.895997956491058E-01,8.032880495072724E-01,-5.875021580789342E-01,-1.464220591732391E-02,-2.664599617405269E-02,
2.134000000000000E+08,-2.498337340408748E-02,-1.760694078325269E-02,7.989303076852075E-01,-5.939171723549850E-01,8.001013271842915E-01,-5.918081595533240E-01,-1.380423654052840E-02,-2.512027827263678E-02,
2.152000000000000E+08,-2.531021819720321E-02,-1.748106431789804E-02,7.958454115566796E-01,-5.981235176676480E-01,7.968872252561512E-01,-5.961754296157391E-01,-1.323837000354658E-02,-2.340817948146608E-02,
2.170000000000000E+08,-2.558500657715648E-02,-1.739149703179596E-02,7.926879461254400E-01,-6.024549925077883E-01,7.936943378777399E-01,-6.003225650967202E-01,-1.289936709690912E-02,-2.162028429364132E-02,
2.188000000000000E+08,-2.580048707067493E-02,-1.731742787084945E-02,7.895429165477699E-01,-6.066749810228884E-01,7.904475420542897E-01,-6.046502997497456E-01,-1.285184995764278E-02,-1.971674588929932E-02,
2.206000000000000E+08,-2.605369608724194E-02,-1.726948806389187E-02,7.863135823909093E-01,-6.108644236655535E-01,7.871424519623477E-01,-6.088987419969099E-01,-1.311606856674713E-02,-1.774851335951309E-02,
2.224000000000000E+08,-2.627791301705858E-02,-1.729443347455518E-02,7.831303490109622E-01,-6.150430637671808E-01,7.837739310611811E-01,-6.130691842390714E-01,-1.371045897254499E-02,-1.582890483748124E-02,
2.242000000000000E+08,-2.643736814460557E-02,-1.730190296873190E-02,7.798134975618054E-01,-6.192163227476762E-01,7.803801333892297E-01,-6.172194251864354E-01,-1.464847497480097E-02,-1.391786357840856E-02,
2.260000000000000E+08,-2.665143503829531E-02,-1.725071443060271E-02,7.765351196959173E-01,-6.233654080223183E-01,7.769774360334638E-01,-6.214568777238286E-01,-1.581049699298127E-02,-1.211781043142601E-02,
2.278000000000000E+08,-2.675344421084015E-02,-1.724818309183284E-02,7.731078837734046E-01,-6.274413555154473E-01,7.735587106032839E-01,-6.254586968151472E-01,-1.725746304873137E-02,-1.043721021947966E-02,
2.296000000000000E+08,-2.691383804004927E-02,-1.718079058955237E-02,7.697020422677497E-01,-6.315115724645878E-01,7.701298114381971E-01,-6.295262548745825E-01,-1.898760092992061E-02,-8.962578750141854E-03,
2.314000000000000E+08,-2.708549662188201E-02,-1.712191785444771E-02,7.663131658343725E-01,-6.355257294830160E-01,7.665582491986009E-01,-6.335910288770772E-01,-2.100429421568988E-02,-7.660455050054159E-03,
2.332000000000000E+08,-2.725730434054682E-02,-1.709535406281727E-02,7.625260540146749E-01,-6.399329255397767E-01,7.633264501051937E-01,-6.373106964069105E-01,-2.327082084493316E-02,-6.643285679339278E-03,
2.350000000000000E+08,-2.744612477299213E-02,-1.711661151645128E-02,7.592011122424117E-01,-6.435111927352415E-01,7.594932288503361E-01,-6.417133342833714E-01,-2.570957569553495E-02,-5.947979672503712E-03,
2.368000000000000E+08,-2.762523153808356E-02,-1.713189557648521E-02,7.556710874781767E-01,-6.474659271499706E-01,7.559827945511715E-01,-6.455696765639096E-01,-2.824439728660431E-02,-5.548898508381792E-03,
2.386000000000000E+08,-2.787739315126173E-02,-1.712931271142304E-02,7.520332596685345E-01,-6.514262760442437E-01,7.523391223931636E-01,-6.495416623615857E-01,-3.086050922507405E-02,-5.498321926250676E-03,
2.404000000000000E+08,-2.815479388288651E-02,-1.707839784044572E-02,7.483236981020678E-01,-6.553400427200591E-01,7.487869618707644E-01,-6.535295890070330E-01,-3.349508041666715E-02,-5.794128158097813E-03,
2.422000000000000E+08,-2.846309969589424E-02,-1.704560286544675E-02,7.447411372810222E-01,-6.592081598800067E-01,7.452145199500885E-01,-6.573602758197740E-01,-3.606575682433033E-02,-6.434151640951475E-03,
2.440000000000000E+08,-2.876193586456754E-02,-1.698964786878349E-02,7.409356844057673E-01,-6.631240581011074E-01,7.416407327075991E-01,-6.611821483850158E-01,-3.849592095393541E-02,-7.417874864943224E-03,
2.458000000000000E+08,-2.911380492586828E-02,-1.696088349832841E-02,7.371478361332948E-01,-6.670040462848387E-01,7.380108774806180E-01,-6.650060307346778E-01,-4.074053728191256E-02,-8.759043133428363E-03,
2.476000000000000E+08,-2.953215064401394E-02,-1.692377976787982E-02,7.334126115642374E-01,-6.708737428296636E-01,7.343673703624961E-01,-6.688512300315794E-01,-4.279933345347858E-02,-1.036490940070258E-02,
2.494000000000000E+08,-2.976615286821055E-02,-1.693330698319128E-02,7.296814089250309E-01,-6.749102899463053E-01,7.304460369201128E-01,-6.726717036700847E-01,-4.467017005352295E-02,-1.243752982254357E-02,
2.512000000000000E+08,-3.037527244465138E-02,-1.682805799762070E-02,7.257525960270199E-01,-6.784326200634713E-01,7.269873237487033E-01,-6.763958366612343E-01,-4.605728232463002E-02,-1.438045371990604E-02,
2.530000000000000E+08,-3.074232579798557E-02,-1.681492916242747E-02,7.219479199058253E-01,-6.823041430301983E-01,7.232947025258702E-01,-6.801665474421797E-01,-4.716283387158082E-02,-1.667207970953765E-02,
2.548000000000000E+08,-3.120538736721743E-02,-1.682461558347286E-02,7.181350122299128E-01,-6.861672891973960E-01,7.196520482245213E-01,-6.839195872981024E-01,-4.790385734946599E-02,-1.904967301112997E-02,
2.566000000000000E+08,-3.162495651916777E-02,-1.682263529335807E-02,7.142393280719165E-01,-6.899932013808133E-01,7.159236729887810E-01,-6.876541031340315E-01,-4.823396017579079E-02,-2.154897610078388E-02,
2.584000000000000E+08,-3.205432502601718E-02,-1.678193714382125E-02,7.103940140848974E-01,-6.937857312916236E-01,7.121748435892028E-01,-6.913841694061629E-01,-4.816119825411278E-02,-2.396763316509172E-02,
2.602000000000000E+08,-3.246937178417264E-02,-1.678321563002430E-02,7.066280244043625E-01,-6.975306779942535E-01,7.084192276035896E-01,-6.950760192558035E-01,-4.763397341341481E-02,-2.628736802481984E-02,
2.620000000000000E+08,-3.287859198729732E-02,-1.667345689065206E-02,7.027358616805883E-01,-7.013197388287481E-01,7.046452761820921E-01,-6.988512702026802E-01,-4.663163936806698E-02,-2.820921664915499E-02,
2.638000000000000E+08,-3.328235703456269E-02,-1.660240545882830E-02,6.989548949771764E-01,-7.051110703643030E-01,7.009115451259900E-01,-7.025399522168579E-01,-4.593069217919499E-02,-2.959974274176828E-02,
2.656000000000000E+08,-3.368828731052384E-02,-1.645234192683958E-02,6.950892994730807E-01,-7.089003920432485E-01,6.971024799827785E-01,-7.063000638038022E-01,-4.370347219542599E-02,-3.187563488926206E-02,
2.674000000000000E+08,-3.404798972163902E-02,-1.630353729161082E-02,6.912910260294316E-01,-7.126881029549266E-01,6.932486588766493E-01,-7.100118223741454E-01,-4.174948488895095E-02,-3.320077466081575E-02,
2.692000000000000E+08,-3.445239757364717E-02,-1.618158893698277E-02,6.875454307073166E-01,-7.164860991973991E-01,6.895018286896258E-01,-7.137586943227167E-01,-3.962563591042727E-02,-3.413848337898127E-02,
2.710000000000000E+08,-3.482219444327417E-02,-1.597353501632985E-02,6.837397652841136E-01,-7.203216587675172E-01,6.856494421404726E-01,-7.174296504768437E-01,-3.734473381258824E-02,-3.463791000061454E-02,
2.728000000000000E+08,-3.519575967083654E-02,-1.573500670249452E-02,6.799885419618472E-01,-7.240781829233236E-01,6.817608164876220E-01,-7.211897251687974E-01,-3.498003313708293E-02,-3.476139465131863E-02,
2.746000000000000E+08,-3.549363690983363E-02,-1.548029421771011E-02,6.759753939120831E-01,-7.281267529995664E-01,6.779302945899421E-01,-7.245197751190557E-01,-3.261095964865662E-02,-3.453278780654936E-02,
2.764000000000000E+08,-3.600750811036049E-02,-1.519759381445192E-02,6.725231981062829E-01,-7.315975143143868E-01,6.739277741435130E-01,-7.286027301582251E-01,-3.020713997734687E-02,-3.381350274601256E-02,
2.782000000000000E+08,-3.639848453403022E-02,-1.489300872995388E-02,6.687048634095830E-01,-7.353882738114786E-01,6.700147072336269E-01,-7.322834838730169E-01,-2.788286670419664E-02,-3.268091712625733E-02,
2.800000000000000E+08,-3.677345000034399E-02,-1.461151861336417E-02,6.650052070411963E-01,-7.391254834009372E-01,6.660558186566364E-01,-7.359005672993580E-01,-2.573611860921792E-02,-3.120256691249841E-02,
